编号,汉字,拼音,声母,韵母,笔画,部首,多音字,姓氏,含义
36,上,shàng / shǎng,sh,ang,3,一,是,是,"(指事。小篆字形。下面的“一”表示位置的界线,线上一短横表示在上面的意思。本义:高处;上面)；同本义；上天;天帝；上级;尊长;社会的最高层；君主;皇帝；工尺谱里的“do”称为上；时间,时候；方位词,边,畔；上等,等级高或品质良好；时间或次序在前；远;久远；广大；丰足；登;上升;向上；上报;呈报；进献,送上；崇尚,提倡；向前;前进；去;到；放到;放进；安装;装上"
37,小,xiǎo,x,iao,3,小,否,否,"(象形。据甲骨文,象沙粒形。小篆析为会意。从八,从|。本义:细;微。与“大”相对)；同本义 。形容事物在体积、面积、数量、力量、强度等方面不及一般的或不及比较的对象；年幼；稍,略；将近；狭隘;低窄；低微；年幼的人。引申为小辈；妾,小老婆；微细的事物；小人,品质不高的人；小"
38,口,kǒu,k,ou,3,口,否,否,"(象形。甲骨文字形,象人的口形。本义:口腔器官,嘴)；同本义。人类用来发声和进食的器官；出入通过的地方；又；又；口才；刃,武器或器具上刀片的切割边；用于某些物品、家畜及人等"
39,山,shān,sh,an,3,山,否,是,"(象形。甲骨文和金文字形,象山峰并立的形状。“山”是汉字的一个部首。本义:地面上由土石构成的隆起部分)；同本义；形状像山的东西；特指“五岳”；指酒肆的楼上；粗俗；姓"
40,巾,jīn,j,in,3,巾,否,否,"(象形。甲骨文字形,象布巾下垂之形。本义:佩巾,拭布,相当于现在的手巾)；同本义；缠束或覆盖用的织物；头巾；巾箱；包裹;覆盖"
41,千,qiān,q,ian,3,十,否,否,"(形声。从十,人声。本义:数目。十百为千) 同本义；比喻数甚大;许许多多；田间小路"
42,乞,qǐ,q,i,3,乙,否,否,"(象形。《说文》本作“气”,借云气字表示乞求义。本义:向人求讨)；同本义；引申为请求,希望；被;叫；乞丐；姓"
43,川,chuān,ch,uan,3,川,否,否,"(象形。甲骨文字形,左右是岸,中间是流水,正像河流形。本义:河流)；同本义；平地;平野"
44,亿,yì,y,i,3,亻,否,否,"(形声。左形,右声。本义:安宁)；安宁;安定；极多;极大；满；数目的名称。古代有时把十万叫亿。今以万万为亿,即以阿拉伯数字100000000标记的可数量；臆测,预料；姓"
45,个,gè / gě,g,e,3,人,是,否,"通用个体量词,表示单独的人或物；字亦作“箇”；俗又作“個”；也可用于某些有专用量词的事物；跟动作有关的用法；这;那"
46,夕,xī,x,i,3,夕,否,否,"(指事。从月半见。本义:黄昏,傍晚)；同本义；夜；指一年的最后一季或一个月的下旬；晚潮；傍晚朝见君主"
47,久,jiǔ,j,iu,3,丿,否,否,"灸灼。“灸”的古字；支撑；堵塞；等待；滞留；长久,时间久(跟“暂”相对)；从前的、先前的"
48,么,yāo / mó,y,ao,3,丿,是,否,词尾；助词，表示含蓄语气，用在前半句末了；用作歌词中的衬字
49,勺,sháo,sh,ao,3,勹,否,否,"(象形。本义:古代舀酒器)；同本义。泛指舀东西的器具,有柄；容量单位名。历代不同"
50,凡,fán,f,an,3,几,否,否,"(象形。金文字形,象造器之模范形。①本义:铸造器物的模子。②引申义:凡是,表示概括)；凡是,一切；总共；平常;普通；平庸；纲要,概括之辞；人世间,尘世；古国名 。姬姓。始封之君为周公之子。在今河南省辉县西南"
51,丸,wán,w,an,3,丿,否,否,(形声。反体指事。小篆是仄的反写。本义:小而圆的物体)；同本义；特指弹丸；量词；指鸟卵；揉物使成小球形；完；姓
52,及,jí,j,i,3,又,否,否,"(会意。甲骨文字形,从人,从手。表示后面的人赶上來用手抓住前面的人。本义:追赶上,抓住)；同本义；至,达到；待,等到；遭受；比得上,能与…相比；连累;关联；供应；趁；和,与；——表示反问,相当于“岂”；——表示頻率,相当于“又”；——表示程度,相当于“极”；姓"
53,广,guǎng / ān,g,uang,3,广,是,是,草屋
54,亡,wáng / wú,w,ang,3,亠,是,否,"(会意。小篆字从入,从乚。“入”是人字。乚(yǐn)隐蔽。合起来表示人到隐蔽处。本义:逃离,出走)；同本义；死；丢失;丧失；灭亡；外出;出门；沉迷于宴饮；过去"
55,门,mén,m,en,3,门,否,是,"(象形。甲骨文字形,象门形。“门”是汉字的一个部首。本义:双扇门,门)；同本义 。房屋垣墙等建筑物,在出入通口处所设可开关转动的装置。古代门与户有别,一扇曰户,两扇曰门;又在堂室曰户,在区域曰门；房屋、围墙、车船等的出入口；门前,门口；形状或作用像门的东西；门径;诀窍；家;家族；学术思想或宗教的派别；守门；攻门"
56,丫,yā,y,a,3,丨,否,否,(象形。本义:树木或物体的分叉)；同本义
57,义,yì,y,i,3,丶,否,否,(“仪”的古字)；仪容;状貌
58,之,zhī,zh,i,3,丶,否,否,"(会意。象艸过屮。枝茎益大。本义:出,生出,滋长)；同本义；往,朝某方向走,到…去；指示人或事物,相当于“这个”“那个”；指代人或事物的名称,相当于他、她、它、他们；又；指示代词,相当于“其”、“他的”、“其他的”；的；用在定语和中心词之间,表示领属关系或一般的修饰关系；用于主谓结构之间,取消句子的独立性；用于实词与介词之间"
59,尸,shī,sh,i,3,尸,否,否,"(象形。小篆字形,屍像卧着的人形。本义:祭祀时代表死者受祭的人)；同本义；神主牌,以木为之；陈尸示众,陈列；立神像或神主；担任;承担；执掌,主持；在其位而无所作为；列阵；尸体；姓"
60,己,jǐ,j,i,3,己,否,否,"(象形。甲骨文字形,象绳曲之形。“己”是古“纪”字,假借作“自己”用。①本义:丝的头绪,用以缠束丝。②自己) 自己,本人；天干的第六位；借作“给”"
61,已,yǐ,y,i,3,己,否,否,"(象形。象蛇形。一说原与“子”同字。本义:停止)；同本义；完成,完毕；治愈；已经 ——表示动作变化达到的程度；太 ——表示程度；又 ——表示行为的频率；最终,终归；已而,然后"
62,巳,sì,s,i,3,巳,否,否,"(象形。甲骨文字形,像在胎包中生长的小儿。本义:在胎包中成长的小儿)；同本义；地支的第六位；与天干相配,用以纪年。如一九四一年为农历辛巳年；用以纪月,即农历四月；十二生肖属蛇"
63,弓,ɡōnɡ,,ɡonɡ,3,弓,否,是,"(象形。甲骨文字形,象弓形,有弓背和弓弦,后省去弓弦,只剩下弓背,隶变后变成现在的“弓”字。“弓”是汉字部首之一,从“弓”的字多与“弓箭”有关系。本义:射箭或打弹的器械)；同本义；形状或作用像弓的器具；丈量土地的器具,用木制成,形状似弓 ,两端距离是五尺,也叫步弓；丈量土地的计量单位,一弓为五尺、三百六十弓为一里；弯曲,引申为弯身,指行礼"
64,子,zǐ,z,i,3,子,否,是,"(象形。甲骨文字形,象小儿在襁褓中,有头、身、臂膀,两足象并起来的样子。“子”是汉字的一个部首。本义:婴儿)；同本义；儿女。古人称子兼男女；今则专指儿子,即某人直系血统的下一代男性；子孙；通常指晚辈直系或旁系血亲；系另一人或一个共同世系的后裔;后代；人的通称；中国古代士大夫的通称；中国古代对男子的通称；古人对自己老师的称呼；地支的第一位；与天干相配,用以纪年；用以纪月,即农历十一月；用以纪日；用以纪时,即夜半十一时至一时；子夜；专指女儿；加在姓氏或数词后面作为对人的尊称；小；幼小；爱;尤指像对子女一样地爱护；收养为子；结果实；尽儿女之道;善事父母；表示限制,相当于“只”；相当于“虽然”；你——尊称对方,通常为男性；姓"
65,卫,wèi,w,ei,3,卩,否,是,"(会意。从韋币从行。甲骨文中“卫、韦”同字。意思是在大道(行)站岗保卫(韦)。本义:保卫;防护)；同本义；谋求；担任卫护、防守之职的人；周代京师以外的行政区域之一；驴的别称；箭羽；古国名 。周武王弟康叔封地。至懿公为狄所灭。戴公野处漕邑,文公又徙居楚丘。秦始皇既统一全国,独置卫君,为附庸,至二世元年废；边陲,边远的地方；水名 。源出河北省灵寿县东北,南流至县东南,合滹沱河；肢体"
66,也,yě,y,e,3,乙,否,否,"表示选择,还是；用在句末表示判断或肯定语气。相当于“啊”、“呀”；用在句中,表示停顿；用在句末,表示疑问,相当于“呢”、“吗”；用在前半句的末了,表示停顿一下,舒缓语气,后半句将对前半句加以解说。对后半句有强调作用"
67,女,nǚ / rǔ,n,v,3,女,是,否,"(象形。甲骨文字形,象一个敛手跪着的人形。本义:女性, 女人,与“男”相对)；同本义；引申指女儿；又；又；星宿名。二十八宿之一,北方玄武七宿的第三宿。有星四颗；以女嫁人(此义又读nǜ)；像姑娘；当女奴；柔弱；雌性的；假借为“汝”。你"
68,刃,rèn,r,en,3,刀,否,否,"(指事。小篆字形,在刀上加一点,表示刀锋所在。本义:刀口,刀锋)；同本义；刀剑一类利器；长度单位；杀死,弄死；磨；柔软而坚固"
69,飞,fēi,f,ei,3,飞,否,否,"(象形。小篆字形,下面象展开的双翼,上面象鸟首。本义:鸟飞)；同本义；泛指飞翔；物体随风在空中飘游浮荡；矿物药或颜料,研成细末,置于水中以漂去其浮于水面的粗屑；疾速；没有根据的；不具姓名的；凌空,高；肌肉丰满；奔驰的马；飞星,流星的一种"
70,习,xí,x,i,3,乙,否,是,"(会意。从羽 。从羽,与鸟飞有关。本义:小鸟反复地试飞)；同本义；反覆练习,钻研；通晓,熟悉；学习；习惯;习惯于,习以为常；训练；习染；习性;习惯；亲信；经常,常常"
71,叉,chā / chá / chǎ,ch,a,3,又,是,否,"(指事。小篆为“又”(即手)上加一点,指出叉手的动向。本义:交错,交叉)；手指相交错。也泛指一般的交错、交叉；古代的一种兵器,头有分杈；叉子"
72,马,mǎ,m,a,3,马,否,是,"(象形。早期金文字形,象马眼、马鬃、马尾之形。“马”是汉字的一个部首。本义:家畜名)；单蹄食草大型哺乳动物 。史前即为人类所驯化,用作驮畜、挽畜和乘骑;它和其他现存的马属和马科动物的区别是尾毛和鬃毛长,后腿飞节内下方有一块胼胝,还有一些非固定特征(如体型较大,蹄子较大,颈稍呈弓形,头小,耳短)；“码”的古字。古代用 以计算的筹码。近世也用以计数；驾着马；姓"
73,乡,xiānɡ,x,ianɡ,3,乙,否,否,"(会意。据甲骨文,像二人对食形。“‘鄉’和‘饗’原本是一字…整个字像两个人相向对坐,共食一簋的情状。本义是用酒食款待别人,是“饗”的古字)；“乡”假借为行政区域名；乡村,城市外的区域；家乡,故乡。在客地称原籍为乡；地方;处所；用作动词,读xiàng；姓"
74,丰,fēnɡ,f,enɡ,4,丨,否,是,"(象形。甲骨文字形,上面象一器物盛有玉形,下面是“豆”(古代盛器)。故“豐”本是盛有贵重物品的礼器。这由“豊”字可以得到证明。古文“豐与“豊”是同一个字,《说文》:“豊,行礼之器也。”本义:古代盛酒器的托盘)；中国古代礼器,形状像豆,用以承酒觯；蒲草；地名；周国都名 。在今陕西省西安市西南；秦沛县之丰邑,汉置县 。今江苏省徐州市丰县；草木茂盛；大;高大；又；丰满;胖；指农作物收成好；盛多。多指事物的数量；丰厚;富裕；富饶；豆器所盛丰富的；增大;扩大；容貌丰满美好；风度,风姿"
75,王,wáng / wàng,w,ang,4,王,是,是,"(会意。本作“士”,是能独立任事的人,后加一横,表示在“士”之上,即人间的最高统治者,而帝 是天上的最高统治者。后“帝”、“王”同步降职,帝成了人间的皇帝,而“王”成了对臣子的最高封爵。本义:天子、君主)；殷周时代对帝王的称呼；春秋时,楚、吴、越等诸侯国国君也开始称“王”,战国时各诸侯国国君普遍称“王”；从秦代开始,天子改称“皇帝”,“王”便成了对贵族或功臣的最高封爵,即诸侯王；首领;同类中最突出者；中国古代对祖父母的尊称；姓"
76,开,kāi,k,ai,4,廾,否,否,"(会意。小篆字形,两边是两扇门,中间一横是门闩,下面是一双手,表示两手打开门闩之意。本义:开门)；同本义；打开,开启；引申为开放;舒放；创立,建立,开创,设立；摆开；开掘;开通；教导,启发；开拓,扩展；戏剧开场角色的说白；分离,分开；又如:开交(分开;解决)；放晴；姓"
77,井,jǐnɡ,j,inɡ,4,二,否,是,"(象形。金文字形,外象井口,中间一点表示井里有水。本义:水井)；同本义；井田；相传古制八家为井。引申为人口聚居地;乡里;家宅；污水池 。 如: 井匽(排除污水秽物的水池和水沟)；比喻法度;条理；市街；汲水于井；划定井田"
78,天,tiān,t,ian,4,大,否,否,"(会意。甲骨文字形。下面是个正面的人形(大),上面指出是人头,小篆变成一横。本义:人的头顶)；同本义；古代的墨刑。在额头上刺字的刑罚；《其人天且劓。——《易·睽卦》。虞注:“黥额为天。”；天空；天帝,上天。古人以天为万物主宰者；天堂 ；一昼夜 ；比人类品质更高尚和能力更强大的存在；自然所生成的事物；一年里的特定时候 ；气象状态；丈夫 ；如:失其所天；指先天不足；古代指君王 ；如:天颜(皇帝之面);天表(天子的仪表);天恩;天邑(帝王之都);天位(天子之位)；头等大事；人的额部 ；如:天炙(朱水点额)；天然的;天生的；顶上的;架空的 ；姓"
79,夫,fū / fú,f,u,4,大,是,否,"(象形。甲骨文字形,像站着的人形(大),上面的“一”,表示头发上插一根簪(zān),意思是成年男子,是个丈夫了。古时男子成年束发加冠才算丈夫,故加“一”做标志。本义:成年男子的通称)；同本义；女子的正式配偶；大丈夫。对男子的美称；剑衣；足背；再,又一次"
80,元,yuán,y,uan,4,儿,否,是,"(会意。从一,从兀。甲骨文字形。象人形。上面一横指明头的部位。上一短横是后加上去的,依汉字造字规律,顶端是一横的,其上可加一短横。本义:头)；同本义；天；君；开始;起端；道家所谓的道；指帝王年号；朝代名 。1206 年,成吉思汗建蒙古汗国。1271 年,忽必烈定国号为元。1279 年灭南宋,统一全国,建都大都(今北京)。1368 年,朱元璋军攻占大都,元亡。自定国号起,元凡十一帝,历时九十八年；又；第一,居首位的；大；本来;向来;原来；黑色。清朝避康熙(玄烨)皇帝的讳。改“玄”为“元”；又"
81,无,wú,w,u,4,一,否,否,"“南无”(nāmó):佛教用语,表示对佛尊敬或皈依"
82,云,yún,y,un,4,二,否,是,"(象形。《说文》:古文字形。象云回转形。“雲”为会意字,从雨,从云。本义:云彩。这个意义后作“雲”)；同本义；大气中的水蒸气,凝聚而成小水滴或水粒,或与雨共存时肉眼可见的集合体,叫做云；比喻轻柔舒卷如云之物；借指高空；云南省的简称；比喻盛多；比喻高；说；有；为,是；旋；无实在意义；如此;这样；姓"
83,专,zhuān,zh,uan,4,一,否,否,"(会意兼形声。甲骨文字形,右边象纺塼(zhuān)形,即“叀(zhuan);左边是手(寸),合起来为用手纺织。“叀”兼作声符。本义:纺锤)；纺专,收丝器；独占;独用；使专一;使集中；独裁,专擅,独断独行；又；又；专断；狭小；满；诚笃；全,都；很,非常；仅仅,只；姓"
84,丐,ɡài,,ɡai,4,一,否,否,"乞求,乞讨；求,请求；给予;施舍,把财物给与人；免除,宽免；乞丐,以乞讨为生的人"
85,扎,zā / zhā / zhá,z,a,4,扌,是,否,捆绑;缠束;拴;系；准备
86,艺,yì,y,i,4,艹,否,否,"(会意。甲骨文字形。左上是“木”,表植物;右边是人用双手操作。又写成“埶”,从坴(lù),土块;从丮(jí),拿。后繁化为“藝”。“艺”从“帅”,乙声。本义:种植) 同本义；技能;才能；指礼、乐、射、御、书、数六种古代教学科目；指经籍称《诗》、《书》、《礼》、《乐》、《易》、《春秋》六经为六艺；极限；标准;准则"
87,木,mù,m,u,4,木,否,是,"(象形。甲骨文字形。象树木形。上为枝叶,下为树根。“木”是汉字的一个部首。从“木”的字表示树木或木器的名称。本义:树木)；同本义；木料,木材；树叶；棺材；某些木制的器物；麻木;失去知觉；朴拙"
88,五,wǔ,w,u,4,二,否,否,"(五,会意。从二,从乂。“二”代表天地,“乂”表示互相交错。本义:交午,纵横交错) 同本义；四加一的和；古代军队编制单位,五人为伍；偶;相类；工尺谱中的音名之一,表示音阶上的一级；五行；古军队编制,五人为伍;行列；姓"
89,支,zhī,zh,i,4,支,否,是,"(会意。小篆字形,上面是“竹”的一半,下面是手(又)。《说文》:“从手持半竹。”本义:去枝的竹子)；同本义；枝条；分支；支流；祖宗支系；支,线及棉纱等的粗细单位；地支的简称；支撑；支开,支派；分,分散；姓"
90,厅,tīnɡ,t,inɡ,4,厂,否,否,"(形声。从广(yǎn),聽(tīng)声。厅是后起字,大约产生于唐代。古作“聽”。魏晋以来加“广”。本义:堂屋)；同本义；官署中听事问案之处；住宅中通往各房间的大或小空间；一级政府部门；清代在府下设厅,与州、县同为地方基层行政机构。其长官为同知或通判。有直隶厅与散厅之别；清末内阁及各部所设掌理政务之机关；民国以来,省政府之下设民政厅、财政厅、教育厅等；现代党政机关的办事机构 ；为营业而容纳多人的房屋"
